function	ALC_19	ALC_20	CIR_18	CIR_19	ERR844085	ERR844086	IL_18	Met9_18	My_20	PR9_18	Pty_20	SRR2029458	SRR2029459	SRR2029460	SRR2071024	SRR2071075	SRR7135742	SRR7135743	V3_20	VT_20
RXN-11706	25.0	7.0	0.0	0.0	45.0	60.0	0.0	0.0	0.0	176.0	0.0	0.0	0.0	0.0	1847.0	3046.67	70.0	62.0	55.0	0.0
RXN-11707	25.0	7.0	0.0	0.0	45.0	60.0	0.0	0.0	0.0	176.0	0.0	0.0	0.0	0.0	1847.0	3046.67	70.0	62.0	55.0	0.0
RXN-11715	1989.0	9306.5	567.5	1692.5	41341.01	160.67	3676.0	2620.5	22422.0	932.5	3872.0	13854.67	13799.67	13654.41	170288.85	470052.65	74466.26	35857.68	20395.9	471.0
RXN-11726	0.0	0.0	0.0	0.0	2293.16	59.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	7.5	18773.0	26959.0	14003.0	4459.0	0.0	0.0
RXN-11727	36.0	23.0	31.0	66.0	314.67	36.0	0.0	119.0	135.0	87.0	145.0	713.0	633.0	370.0	15046.16	23362.0	2714.0	1797.84	105.83	0.0
RXN-11734	5025.5	19700.0	1989.5	1927.5	30047.66	1096.0	10883.5	5307.0	40497.83	5802.5	68169.17	18225.26	20317.0	21349.76	274933.19	467614.04	65339.07	63411.32	7801.05	605.8
RXN-11737	12116.0	34941.67	7902.5	25178.5	48825.18	58243.67	10033.25	8461.33	34893.83	7009.5	27378.17	29392.61	30857.17	33833.59	399759.94	1101180.23	150234.69	103395.27	27514.55	45654.4
RXN-11743	1989.0	9306.5	567.5	1692.5	41341.01	160.67	3676.0	2620.5	22422.0	932.5	3872.0	13854.67	13799.67	13654.41	170288.85	470052.65	74466.26	35857.68	20395.9	471.0
RXN-11747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0
RXN-11749	16.0	243.0	6056.0	21126.0	63.0	0.0	242.0	416.0	1889.0	51.0	21494.0	10432.0	9068.0	11088.0	39.0	111.0	72.0	2755.0	0.0	0.0
RXN-11754	12180.75	36588.17	7345.5	23324.0	51802.67	116200.34	7543.75	8632.33	41451.83	6358.0	34645.67	39069.97	34597.17	35857.04	343110.91	829659.73	106453.55	100530.42	22604.56	45764.8
RXN-11758	11002.75	26171.34	6997.0	22034.5	18685.67	73.0	5353.25	7622.16	22161.83	6033.0	37446.17	26732.63	22352.5	24633.88	121728.0	256389.59	35644.0	67819.59	2840.5	86.0
RXN-11761	224.5	222.0	350.5	381.5	3372.0	33.0	1121.0	1099.5	17832.5	92.5	9360.5	12622.94	10619.0	10581.44	61504.0	86004.5	13396.5	18861.5	1935.33	86.0
RXN-11768	512.0	440.0	0.0	0.0	222.0	0.0	0.0	935.0	0.0	351.0	0.0	23.0	467.0	379.0	0.0	155.83	0.0	0.0	0.0	0.0
RXN-11781	0.0	0.0	0.0	0.0	29.0	57849.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.83	2942.0	21.0	0.0	0.0	0.0
RXN-11782	0.0	0.0	0.0	0.0	29.0	57849.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.83	2978.0	62.0	17.0	0.0	0.0
RXN-11783	25.0	7.0	0.0	0.0	45.0	60.0	0.0	0.0	0.0	176.0	0.0	0.0	0.0	0.0	2048.0	3223.67	70.0	62.0	55.0	0.0
RXN-11784	38.0	8.0	342.5	215.0	1838.83	37.0	890.5	89.0	2596.5	0.0	188.0	337.5	1673.5	1032.0	8900.67	25834.0	1732.5	5280.5	83.5	0.0
RXN-11788	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	337.0	233.0	300.0	32.0	246.0	196.0	5.0	0.0	0.0
RXN-11790	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	337.0	233.0	300.0	0.0	201.0	196.0	5.0	0.0	0.0
RXN-11813	0.0	0.0	0.0	0.0	433.83	27.0	0.0	0.0	0.0	0.0	0.0	3.5	41.0	7.5	3685.2	7045.67	434.0	16.0	0.0	0.0
RXN-11820	0.0	9.0	0.0	17.0	1897.0	51.0	17.0	82.5	0.0	0.0	6196.0	0.0	188.0	0.0	11.0	171.5	72.0	2766.0	0.6	0.0
RXN-11832	11188.75	33405.67	6903.0	22936.5	50526.67	58276.67	4216.75	7367.83	21543.33	6042.5	31354.17	27092.36	24820.17	26718.85	311628.22	819495.49	96777.39	82722.59	22355.97	495.4
RXN-11833	370.25	11516.0	6482.5	21414.0	13394.5	134.0	2669.25	2610.5	2582.0	2923.5	27032.0	11925.25	10386.0	14677.33	57071.0	142614.92	7096.5	22224.92	2600.26	471.0
RXN-11834	3054.25	10619.0	6774.5	22649.0	486.67	116.0	2658.25	3370.5	4298.0	3800.5	28158.0	12396.69	11391.0	15516.44	64181.67	178781.71	26577.0	32420.09	2195.33	0.0
RXN-11835	943.0	10856.0	6386.0	21399.0	10155.0	141.67	3743.0	2767.5	4894.0	3535.5	32624.0	12167.17	11986.5	17364.83	19308.09	44771.9	8338.33	16619.5	2196.6	86.0
RXN-11836	11313.5	43637.67	7075.0	23069.5	50788.5	295.67	6753.25	9657.83	23979.33	8872.5	36960.17	27223.11	24976.17	27808.35	316745.0	830697.49	103650.22	91212.25	23057.72	45740.4
RXN-11837	12045.75	36538.67	7307.0	24240.5	70990.36	430.67	9877.75	7940.83	28193.33	6321.0	32521.17	28323.8	27784.84	31992.78	473115.64	1339822.41	146238.94	111815.1	35752.04	91841.4
RXN-11838	10683.75	27179.67	7026.0	23032.5	17876.0	73.0	4096.75	7066.83	23841.33	5516.0	31553.17	25941.19	23355.17	24880.77	155667.85	392967.09	48634.5	60503.75	3121.0	557.0
RXN-11839	11212.75	33405.67	7026.0	23032.5	50495.67	434.67	6464.75	7367.83	23979.33	6042.5	31570.17	27188.36	24859.17	27413.85	313118.99	817719.83	98732.72	83130.59	22837.72	45740.4
RXN-11840	6316.75	20261.0	49.0	100.0	1046.0	0.0	1655.5	2648.0	0.0	3137.0	5482.0	1407.75	1839.0	2323.5	13450.83	63353.22	12447.33	26555.33	185.5	0.0
RXN-11841	9011.75	20667.67	80.0	69.0	12333.34	58041.0	288.5	3851.33	0.0	4129.0	5413.0	928.75	413.0	1005.5	39233.83	118646.08	18054.67	27724.17	508.16	0.0
RXN-11842	3905.0	3283.0	1211.0	1029.5	4193.33	153.0	2035.0	2838.5	20452.0	1689.5	3943.5	14379.88	13723.5	14790.38	85507.79	151155.85	11802.0	16569.5	551.0	0.0
RXN-11843	3905.0	3283.0	1211.0	1029.5	4193.33	153.0	2035.0	2838.5	20452.0	1689.5	3943.5	14379.88	13723.5	14790.38	85507.79	151155.85	11802.0	16569.5	551.0	0.0
RXN-11845	10343.75	26131.67	6745.0	21827.5	17166.0	58038.67	3095.75	6923.83	19689.33	5401.0	30655.17	26135.86	21666.5	23544.44	120101.0	254658.88	30736.33	51479.58	2573.67	86.0
